일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/02/23","487000","-3500","-0.71","481500","492500","477000","665417","322240649000","43182127829000","88669667"
"2021/02/22","490500","-13500","-2.68","505000","510000","490000","640993","318698772000","43492471663500","88669667"
"2021/02/19","504000","3000","0.60","497000","506000","490000","695664","345815290000","44689512168000","88669667"
"2021/02/18","501000","-8000","-1.57","506000","517000","501000","466922","236538803000","44423503167000","88669667"
"2021/02/17","509000","-5000","-0.97","515000","515000","503000","562572","285858658000","45132860503000","88669667"
"2021/02/16","514000","12000","2.39","504000","519000","499500","1076048","547462467000","45576208838000","88669667"
"2021/02/15","502000","12500","2.55","499000","505000","492000","1052548","525405008000","44512172834000","88669667"
"2021/02/10","489500","28500","6.18","466000","490500","466000","1814483","871352286000","43350573766500","88560927"
"2021/02/09","461000","4000","0.88","460000","467500","452500","735565","340145490500","40826587347000","88560927"
"2021/02/08","457000","2000","0.44","455000","462000","450000","516115","236425514000","40472343639000","88560927"
"2021/02/05","455000","500","0.11","457000","461000","447500","408416","184923580000","40295221785000","88560927"
"2021/02/04","454500","-7500","-1.62","463000","463000","449000","516837","234967576000","40250941321500","88560927"
"2021/02/03","462000","16500","3.70","450500","462000","447000","758097","344755759000","40915148274000","88560927"
"2021/02/02","445500","4000","0.91","450000","457000","443500","662905","298343795500","39453892978500","88560927"
"2021/02/01","441500","500","0.11","436000","443000","425000","910101","396748959000","39099649270500","88560927"
"2021/01/29","441000","-17000","-3.71","460000","460500","436000","1070093","477636583500","39055368807000","88560927"
"2021/01/28","458000","-7000","-1.51","454000","468500","452000","921812","422938719000","40533915084000","88501998"
"2021/01/27","465000","4000","0.87","463000","477000","461000","719814","337434056500","41153429070000","88501998"
"2021/01/26","461000","-12500","-2.64","479000","479000","460500","812266","377869140500","40799421078000","88501998"
"2021/01/25","473500","10500","2.27","472000","475500","460000","720170","337889807500","41905696053000","88501998"
"2021/01/22","463000","9000","1.98","456000","476000","452500","1162395","542801372500","40976425074000","88501998"
"2021/01/21","454000","10000","2.25","452500","461000","452000","679093","309551201350","40179907092000","88501998"
"2021/01/20","444000","4000","0.91","448000","450000","437000","596340","264276828000","39294887112000","88501998"
"2021/01/19","440000","12500","2.92","428000","444500","428000","583997","255189685500","38940879120000","88501998"
"2021/01/18","427500","-10000","-2.29","433500","441500","427000","839984","364615834000","37834604145000","88501998"
"2021/01/15","437500","-14000","-3.10","452000","459000","436500","995726","441324828000","38719624125000","88501998"
"2021/01/14","451500","-3000","-0.66","454000","463000","450000","802076","365585594000","39939647559000","88459906"
"2021/01/13","454500","-3000","-0.66","458500","462000","449500","806402","366981828500","40205027277000","88459906"
"2021/01/12","457500","4500","0.99","446000","460000","433000","1577872","706469033000","40470406995000","88459906"
"2021/01/11","453000","19000","4.38","441000","463000","429000","3157747","1412918669000","40072337418000","88459906"
"2021/01/08","434000","31500","7.83","413000","436000","404500","2466715","1048022903000","38391599204000","88459906"
"2021/01/07","402500","7000","1.77","402000","403500","393000","775191","310232235500","35595713790000","88436556"
"2021/01/06","395500","2500","0.64","395000","410000","394500","1435715","579946623571","34976657898000","88436556"
"2021/01/05","393000","-3000","-0.76","393000","395500","387000","748559","292576965500","34755566508000","88436556"
"2021/01/04","396000","6500","1.67","392000","396500","385500","853740","335358065000","35020876176000","88436556"
"2020/12/30","389500","5000","1.30","384500","394000","383500","813142","317449974000","34446038562000","88436556"
"2020/12/29","384500","11500","3.08","381000","385500","378000","857404","327893497500","34003855782000","88436556"
"2020/12/28","373000","-1000","-0.27","374500","377000","369500","646464","240856374500","32986835388000","88436556"
"2020/12/24","374000","-3500","-0.93","378500","380000","372000","465132","174533511000","33028044346000","88310279"
"2020/12/23","377500","1500","0.40","381000","385500","377000","629952","239896120500","33337130322500","88310279"
"2020/12/22","376000","-3500","-0.92","380000","389500","375500","876516","335998684500","33204664904000","88310279"
"2020/12/21","379500","12500","3.41","367000","380000","367000","819879","307581642000","33513750880500","88310279"
"2020/12/18","367000","-2000","-0.54","369000","369500","365500","427433","156760398000","32409872393000","88310279"
"2020/12/17","369000","-3000","-0.81","374000","374000","368500","455131","168398801500","32586492951000","88310279"
"2020/12/16","372000","1000","0.27","373500","375000","371000","269253","100277799000","32851423788000","88310279"
"2020/12/15","371000","-2500","-0.67","373500","375500","369000","393157","145962371500","32763113509000","88310279"
"2020/12/14","373500","-1000","-0.27","376500","381000","372500","480288","180271943500","32983889206500","88310279"
