"행정구역(시군구)별",2020. 11,2020. 11,2020. 11,2020. 12,2020. 12,2020. 12,2021. 01,2021. 01,2021. 01
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",51834302,25844667,25989635,51829023,25841029,25987994,51825932,25838512,25987420
"서울특별시",9679771,4708321,4971450,9668465,4701723,4966742,9657969,4695999,4961970
"부산광역시",3395514,1663055,1732459,3391946,1661000,1730946,3389388,1659527,1729861
"대구광역시",2421859,1195081,1226778,2418346,1193109,1225237,2415813,1191656,1224157
"인천광역시",2942307,1473795,1468512,2942828,1473943,1468885,2942452,1473639,1468813
"광주광역시",1451993,718370,733623,1450062,717348,732714,1449115,716929,732186
"대전광역시",1465893,731701,734192,1463882,730699,733183,1463291,730396,732895
"울산광역시",1137345,584305,553040,1136017,583708,552309,1135370,583402,551968
"세종특별자치시",353430,176336,177094,355831,177568,178263,357871,178656,179215
"경기도",13413459,6748061,6665398,13427014,6754469,6672545,13449499,6765862,6683637
"강원도",1542374,776079,766295,1542840,776505,766335,1541696,775727,765969
"충청북도",1599680,810903,788777,1600837,811591,789246,1599658,811057,788601
"충청남도",2120607,1082311,1038296,2121029,1082634,1038395,2119837,1082095,1037742
"전라북도",1805204,897393,907811,1804104,896874,907230,1802748,896115,906633
"전라남도",1850557,929986,920571,1851549,930615,920934,1850575,930132,920443
"경상북도",2639245,1328939,1310306,2639422,1329211,1310211,2637639,1328384,1309255
"경상남도",3341063,1681719,1659344,3340216,1681423,1658793,3338396,1680383,1658013
"제주특별자치도",674001,338312,335689,674635,338609,336026,674615,338553,336062
